node,node2,regime
C23,,global
C17,,global
C12,,global
C10,,global
C3,,global
C14,,global
C5,,global
C9,,global
C24,,global
C6,,global
C21,,global
C19,,global
C1,,global
C22,,global
C4,,global
C13,,global
C18,,global
C15,,global
C11,,global
C16,,global
C8,,global
C20,,global
C7,,global
C23,C17,global
C23,C10,global
C23,C5,global
C17,C12,global
C10,C3,global
C3,C14,global
C5,C9,global
C9,C24,global
C9,C1,global
C24,C6,global
C6,C21,global
C21,C19,global
C1,C22,global
C1,C13,global
C22,C4,global
C13,C18,global
C18,C15,global
C18,C11,global
C11,C16,global
C16,C8,global
C8,C20,global
C20,C7,global
